,No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
63,NOLSM3611410361,1,Implantation,1.79E+16,8.57E+16,6.04E+17,3.00E+17,6.00E+17,30598.176,102.716,860,155,14,37,02-03-2022
64,NOLSM3621411362,2,Implantation,1.07E+16,9.57E+16,2.49E+17,3.01E+17,6.00E+17,32095.533,103.37,902,155,14,38,02-03-2022
65,NOLSM3631412363,3,Implantation,1.44E+16,5.22E+16,9.28E+17,2.99E+17,6.00E+17,31074.084,101.302,893,155,14,39,02-03-2022
66,NOLSM3641413364,1,Implantation,1.00E+16,1.31E+17,6.99E+17,3.00E+17,6.00E+17,31732.45,104.196,912,153,14,40,02-03-2022
67,NOLSM3651414365,2,Implantation,8.18979E+15,7.54E+16,8.47E+17,2.99E+17,6.00E+17,31559.581,101.5,909,154,14,41,02-03-2022
68,NOLSM3661415366,3,Implantation,8.24374E+15,1.24E+16,8.48E+17,3.00E+17,6.00E+17,31251.253,101.809,906,155,14,42,02-03-2022
69,NOLSM3671416367,1,Implantation,8.26796E+15,7.79E+16,5.92E+17,3.00E+17,6.00E+17,31364.131,103.785,906,155,14,43,02-03-2022
70,NOLSM3681417368,2,Implantation,1.22E+16,1.13E+17,8.25E+17,3.00E+17,6.00E+17,32166.592,102.54,911,153,14,44,02-03-2022
71,NOLSM3691418369,3,Implantation,1.18E+16,1.14E+17,4.73E+17,2.99E+17,6.00E+17,32602.428,104.079,917,160,14,45,02-03-2022
72,NOLSM3701419370,1,Implantation,6.74751E+15,9.89E+16,2.11E+17,3.00E+17,6.00E+17,31126.822,103.831,894,156,14,46,02-03-2022
73,NOLSM3711420371,2,Implantation,1.49E+16,3.52E+16,4.27E+17,3.01E+17,6.00E+17,31795.543,104.113,875,154,14,47,02-03-2022
74,NOLSM3721421372,3,Implantation,6.74914E+15,1.08E+17,6.22E+17,3.01E+17,6.00E+17,31209.028,103.854,884,156,14,48,02-03-2022
75,NOLSM3731422373,1,Implantation,2.98448E+15,8.43E+16,6.48E+17,3.01E+17,6.00E+17,30954.031,99.555,895,155,14,49,02-03-2022
76,NOLSM3741423374,2,Implantation,1.58E+16,9.95E+16,3.07E+17,3.02E+17,6.00E+17,31265.102,101.988,916,150,14,50,02-03-2022
77,NOLSM3751424375,3,Implantation,6.4125E+15,5.49873E+15,4.50E+17,2.99E+17,6.00E+17,32267.154,104.109,907,155,14,51,02-03-2022
78,NOLSM3761425376,1,Implantation,1.54E+16,5.38E+16,2.17E+17,3.03E+17,6.00E+17,31799.934,104.071,917,150,14,52,02-03-2022
79,NOLSM3771426377,2,Implantation,1.23E+16,8.84E+16,6.37E+17,2.99E+17,6.00E+17,32222.227,104.658,893,157,14,53,02-03-2022
80,NOLSM3781427378,3,Implantation,3.41028E+15,1.26E+17,6.61E+17,3.01E+17,6.00E+17,32130.349,102.474,900,157,14,54,02-03-2022
81,NOLSM352141,3,Implantation,1.09E+16,-4.12E+16,9.74E+17,3.03E+17,6.00E+17,31292.665,100.718,899,151,14,1,02-03-2022
82,NOLSM353142,2,Implantation,1.14E+16,7.25E+16,8.05E+17,2.99E+17,6.00E+17,32015.142,103.175,874,155,14,2,02-03-2022
83,NOLSM354143,1,Implantation,1.62E+16,8.58E+16,4.53E+17,3.01E+17,6.00E+17,30828.379,102.963,882,158,14,3,02-03-2022
84,NOLSM355144,1,Implantation,1.24E+16,1.50E+17,3.60E+17,2.99E+17,6.00E+17,32525.804,102.767,926,156,14,4,02-03-2022
85,NOLSM356145,2,Implantation,1.54E+16,4.30E+16,5.93E+17,3.02E+17,6.00E+17,31584.1,102.448,925,156,14,5,02-03-2022
86,NOLSM357146,3,Implantation,1.65E+16,1.26E+17,8.12E+17,3.00E+17,6.00E+17,31743.858,104.18,914,156,14,6,02-03-2022
87,NOLSM358147,2,Implantation,7.24055E+15,1.96E+17,5.41E+17,2.96E+17,6.00E+17,32590.44,106.173,915,154,14,7,02-03-2022
88,NOLSM359148,1,Implantation,9.91245E+15,6.10E+16,1.66E+17,3.02E+17,6.00E+17,32202.196,103.67,882,153,14,8,02-03-2022
89,NOLSM360149,1,Implantation,1.38E+16,1.09E+17,7.02E+17,3.00E+17,6.00E+17,31167.976,104.326,888,159,14,9,02-03-2022
90,NOLSM3611410,2,Implantation,1.79E+16,8.57E+16,6.04E+17,3.00E+17,6.00E+17,30598.176,102.716,860,155,14,10,02-03-2022
91,NOLSM3621411,3,Implantation,1.07E+16,9.57E+16,2.49E+17,3.01E+17,6.00E+17,32095.533,103.37,902,155,14,11,02-03-2022
92,NOLSM3631412,3,Implantation,1.44E+16,5.22E+16,9.28E+17,2.99E+17,6.00E+17,31074.084,101.302,893,155,14,12,02-03-2022
93,NOLSM3641413,2,Implantation,1.00E+16,1.31E+17,6.99E+17,3.00E+17,6.00E+17,31732.45,104.196,912,153,14,13,02-03-2022
94,NOLSM3651414,1,Implantation,8.18979E+15,7.54E+16,8.47E+17,2.99E+17,6.00E+17,31559.581,101.5,909,154,14,14,02-03-2022
95,NOLSM3661415,1,Implantation,8.24374E+15,1.24E+16,8.48E+17,3.00E+17,6.00E+17,31251.253,101.809,906,155,14,15,02-03-2022
96,NOLSM3671416,2,Implantation,8.26796E+15,7.79E+16,5.92E+17,3.00E+17,6.00E+17,31364.131,103.785,906,155,14,16,02-03-2022
97,NOLSM3681417,3,Implantation,1.22E+16,1.13E+17,8.25E+17,3.00E+17,6.00E+17,32166.592,102.54,911,153,14,17,02-03-2022
98,NOLSM3691418,3,Implantation,1.18E+16,1.14E+17,4.73E+17,2.99E+17,6.00E+17,32602.428,104.079,917,160,14,18,02-03-2022
99,NOLSM3701419,2,Implantation,6.74751E+15,9.89E+16,2.11E+17,3.00E+17,6.00E+17,31126.822,103.831,894,156,14,19,02-03-2022
100,NOLSM3711420,1,Implantation,1.49E+16,3.52E+16,4.27E+17,3.01E+17,6.00E+17,31795.543,104.113,875,154,14,20,02-03-2022
101,NOLSM3721421,1,Implantation,6.74914E+15,1.08E+17,6.22E+17,3.01E+17,6.00E+17,31209.028,103.854,884,156,14,21,02-03-2022
102,NOLSM3731422,2,Implantation,2.98448E+15,8.43E+16,6.48E+17,3.01E+17,6.00E+17,30954.031,99.555,895,155,14,22,02-03-2022
103,NOLSM3741423,3,Implantation,1.58E+16,9.95E+16,3.07E+17,3.02E+17,6.00E+17,31265.102,101.988,916,150,14,23,02-03-2022
104,NOLSM3751424,1,Implantation,6.4125E+15,5.49873E+15,4.50E+17,2.99E+17,6.00E+17,32267.154,104.109,907,155,14,24,02-03-2022
105,NOLSM3761425,1,Implantation,1.54E+16,5.38E+16,2.17E+17,3.03E+17,6.00E+17,31799.934,104.071,917,150,14,25,02-03-2022
106,NOLSM3771426,2,Implantation,1.23E+16,8.84E+16,6.37E+17,2.99E+17,6.00E+17,32222.227,104.658,893,157,14,26,02-03-2022
107,NOLSM3781427,3,Implantation,3.41028E+15,1.26E+17,6.61E+17,3.01E+17,6.00E+17,32130.349,102.474,900,157,14,27,02-03-2022
108,NOLSM379151379,1,Implantation,2.88039E+15,-1.20E+16,5.22E+17,3.01E+17,6.00E+17,32241.562,102.059,912,156,15,28,03-03-2022
109,NOLSM380152380,2,Implantation,8.14384E+15,1.65E+17,2.54E+17,3.01E+17,6.00E+17,32695.351,100.52,893,158,15,29,03-03-2022
110,NOLSM381153381,3,Implantation,1.42E+16,9.77E+16,3.16E+17,2.99E+17,6.00E+17,32457.98,103.259,894,152,15,30,03-03-2022
111,NOLSM382154382,1,Implantation,1.23E+16,9.70E+16,3.21E+17,3.01E+17,6.00E+17,32385.463,100.834,901,155,15,31,03-03-2022
112,NOLSM383155383,2,Implantation,1.78E+16,6.64E+16,6.58E+17,3.00E+17,6.00E+17,32928.823,104.711,885,153,15,32,03-03-2022
113,NOLSM384156384,3,Implantation,5.9904E+15,1.35E+17,1.14E+18,2.99E+17,6.00E+17,32507.472,103.749,907,153,15,33,03-03-2022
114,NOLSM385157385,1,Implantation,9.96467E+15,5.89E+16,6.87E+17,3.01E+17,6.00E+17,31557.692,99.555,897,154,15,34,03-03-2022
115,NOLSM386158386,2,Implantation,7.05829E+15,1.19E+17,5.26E+17,3.00E+17,6.00E+17,32314.849,102.377,916,153,15,35,03-03-2022
116,NOLSM387159387,3,Implantation,1.17E+16,5.23E+16,5.98E+17,3.01E+17,6.00E+17,32704.56,104.585,911,153,15,36,03-03-2022
117,NOLSM3881510388,1,Implantation,8.72371E+15,1.38E+17,3.74E+17,3.01E+17,6.00E+17,32148.267,104.398,896,158,15,37,03-03-2022
118,NOLSM3891511389,2,Implantation,1.15E+16,1.52E+17,4.58E+17,3.00E+17,6.00E+17,32153.409,102.027,911,156,15,38,03-03-2022
119,NOLSM3901512390,3,Implantation,1.46E+16,2.69E+16,6.04E+17,3.00E+17,6.00E+17,32034.212,107.376,878,156,15,39,03-03-2022
120,NOLSM3911513391,1,Implantation,9.50147E+15,1.14E+17,4.29E+17,3.03E+17,6.00E+17,30966.612,105.285,903,152,15,40,03-03-2022
121,NOLSM3921514392,2,Implantation,1.11E+16,1.46E+17,3.77E+17,3.00E+17,6.00E+17,31509.217,104.176,884,154,15,41,03-03-2022
122,NOLSM3931515393,3,Implantation,1.15E+16,9.13E+16,4.82E+17,3.03E+17,6.00E+17,31497.31,105.043,906,152,15,42,03-03-2022
123,NOLSM3941516394,1,Implantation,2.01E+16,1.58E+17,5.62E+17,3.01E+17,6.00E+17,30883.8,100.728,906,150,15,43,03-03-2022
124,NOLSM3951517395,2,Implantation,7.29512E+15,1.79E+17,3.31E+17,3.00E+17,6.00E+17,32548.685,101.805,913,153,15,44,03-03-2022
125,NOLSM3961518396,3,Implantation,1.34E+16,8.04E+16,3.52E+17,3.01E+17,6.00E+17,32096.824,102.901,889,154,15,45,03-03-2022
126,NOLSM3971519397,1,Implantation,8.71572E+15,5.58E+16,4.22E+17,3.00E+17,6.00E+17,31876.775,103.409,900,156,15,46,03-03-2022
127,NOLSM3981520398,2,Implantation,1.62E+16,5.10E+16,4.60E+17,2.99E+17,6.00E+17,31373.265,103.899,911,154,15,47,03-03-2022
128,NOLSM3991521399,3,Implantation,1.08E+16,7.93E+16,4.80E+17,2.98E+17,6.00E+17,32270.885,102.841,903,157,15,48,03-03-2022
129,NOLSM4001522400,1,Implantation,1.44E+16,1.29E+17,6.72E+17,2.99E+17,6.00E+17,32062.372,104.328,885,152,15,49,03-03-2022
130,NOLSM4011523401,2,Implantation,1.73E+16,9.95E+16,-6.12E+16,3.00E+17,6.00E+17,32374.895,104.18,898,155,15,50,03-03-2022
131,NOLSM4021524402,3,Implantation,8.72069E+15,1.00E+17,6.54E+17,2.98E+17,6.00E+17,31438.723,104.829,908,148,15,51,03-03-2022
132,NOLSM4031525403,1,Implantation,7.30434E+15,1.13E+17,6.12E+17,3.00E+17,6.00E+17,32297.342,102.555,893,152,15,52,03-03-2022
133,NOLSM4041526404,2,Implantation,1.82E+16,6.32E+16,6.90E+17,3.01E+17,6.00E+17,31153.753,103.587,927,154,15,53,03-03-2022
134,NOLSM4051527405,3,Implantation,1.30E+16,1.49E+17,6.14E+17,3.02E+17,6.00E+17,32181.305,104.43,906,156,15,54,03-03-2022
135,NOLSM379151,3,Implantation,2.88039E+15,-1.20E+16,5.22E+17,3.01E+17,6.00E+17,32241.562,102.059,912,156,15,1,03-03-2022
136,NOLSM380152,2,Implantation,8.14384E+15,1.65E+17,2.54E+17,3.01E+17,6.00E+17,32695.351,100.52,893,158,15,2,03-03-2022
137,NOLSM381153,1,Implantation,1.42E+16,9.77E+16,3.16E+17,2.99E+17,6.00E+17,32457.98,103.259,894,152,15,3,03-03-2022
138,NOLSM382154,1,Implantation,1.23E+16,9.70E+16,3.21E+17,3.01E+17,6.00E+17,32385.463,100.834,901,155,15,4,03-03-2022
139,NOLSM383155,3,Implantation,1.78E+16,6.64E+16,6.58E+17,3.00E+17,6.00E+17,32928.823,104.711,885,153,15,5,03-03-2022
140,NOLSM384156,3,Implantation,5.9904E+15,1.35E+17,1.14E+18,2.99E+17,6.00E+17,32507.472,103.749,907,153,15,6,03-03-2022
141,NOLSM385157,1,Implantation,9.96467E+15,5.89E+16,6.87E+17,3.01E+17,6.00E+17,31557.692,99.555,897,154,15,7,03-03-2022
142,NOLSM386158,1,Implantation,7.05829E+15,1.19E+17,5.26E+17,3.00E+17,6.00E+17,32314.849,102.377,916,153,15,8,03-03-2022
143,NOLSM387159,2,Implantation,1.17E+16,5.23E+16,5.98E+17,3.01E+17,6.00E+17,32704.56,104.585,911,153,15,9,03-03-2022
144,NOLSM3881510,3,Implantation,8.72371E+15,1.38E+17,3.74E+17,3.01E+17,6.00E+17,32148.267,104.398,896,158,15,10,03-03-2022
145,NOLSM3891511,3,Implantation,1.15E+16,1.52E+17,4.58E+17,3.00E+17,6.00E+17,32153.409,102.027,911,156,15,11,03-03-2022
146,NOLSM3901512,2,Implantation,1.46E+16,2.69E+16,6.04E+17,3.00E+17,6.00E+17,32034.212,107.376,878,156,15,12,03-03-2022
147,NOLSM3911513,1,Implantation,9.50147E+15,1.14E+17,4.29E+17,3.03E+17,6.00E+17,30966.612,105.285,903,152,15,13,03-03-2022
148,NOLSM3921514,1,Implantation,1.11E+16,1.46E+17,3.77E+17,3.00E+17,6.00E+17,31509.217,104.176,884,154,15,14,03-03-2022
149,NOLSM3931515,3,Implantation,1.15E+16,9.13E+16,4.82E+17,3.03E+17,6.00E+17,31497.31,105.043,906,152,15,15,03-03-2022
150,NOLSM3941516,3,Implantation,2.01E+16,1.58E+17,5.62E+17,3.01E+17,6.00E+17,30883.8,100.728,906,150,15,16,03-03-2022
151,NOLSM3951517,2,Implantation,7.29512E+15,1.79E+17,3.31E+17,3.00E+17,6.00E+17,32548.685,101.805,913,153,15,17,03-03-2022
152,NOLSM3961518,1,Implantation,1.34E+16,8.04E+16,3.52E+17,3.01E+17,6.00E+17,32096.824,102.901,889,154,15,18,03-03-2022
153,NOLSM3971519,1,Implantation,8.71572E+15,5.58E+16,4.22E+17,3.00E+17,6.00E+17,31876.775,103.409,900,156,15,19,03-03-2022
154,NOLSM3981520,2,Implantation,1.62E+16,5.10E+16,4.60E+17,2.99E+17,6.00E+17,31373.265,103.899,911,154,15,20,03-03-2022
155,NOLSM3991521,3,Implantation,1.08E+16,7.93E+16,4.80E+17,2.98E+17,6.00E+17,32270.885,102.841,903,157,15,21,03-03-2022
156,NOLSM4001522,3,Implantation,1.44E+16,1.29E+17,6.72E+17,2.99E+17,6.00E+17,32062.372,104.328,885,152,15,22,03-03-2022
157,NOLSM4011523,2,Implantation,1.73E+16,9.95E+16,-6.12E+16,3.00E+17,6.00E+17,32374.895,104.18,898,155,15,23,03-03-2022
158,NOLSM4021524,1,Implantation,8.72069E+15,1.00E+17,6.54E+17,2.98E+17,6.00E+17,31438.723,104.829,908,148,15,24,03-03-2022
159,NOLSM4031525,1,Implantation,7.30434E+15,1.13E+17,6.12E+17,3.00E+17,6.00E+17,32297.342,102.555,893,152,15,25,03-03-2022
160,NOLSM4041526,3,Implantation,1.82E+16,6.32E+16,6.90E+17,3.01E+17,6.00E+17,31153.753,103.587,927,154,15,26,03-03-2022
161,NOLSM4051527,3,Implantation,1.30E+16,1.49E+17,6.14E+17,3.02E+17,6.00E+17,32181.305,104.43,906,156,15,27,03-03-2022
162,NOLSM406161406,1,Implantation,5.1694E+15,1.71E+16,7.53E+17,3.00E+17,6.00E+17,31639.318,103.843,902,155,16,28,04-03-2022
163,NOLSM407162407,2,Implantation,1.30E+16,1.83E+17,3.86E+17,3.01E+17,6.00E+17,31468.269,102.597,923,153,16,29,04-03-2022
164,NOLSM408163408,3,Implantation,1.61E+16,7.85E+16,9.67E+17,3.00E+17,6.00E+17,30906.701,104.338,910,149,16,30,04-03-2022
165,NOLSM409164409,1,Implantation,9.41911E+15,1.80E+17,4.59E+17,3.02E+17,6.00E+17,31668.747,104.576,919,157,16,31,04-03-2022
166,NOLSM410165410,2,Implantation,3.16277E+15,5.03E+16,1.05E+18,3.01E+17,6.00E+17,30876.21,103.354,881,154,16,32,04-03-2022
167,NOLSM411166411,3,Implantation,1.26E+16,2.40E+16,7.29E+17,3.01E+17,6.00E+17,32023.057,103.827,871,154,16,33,04-03-2022
168,NOLSM412167412,1,Implantation,1.86E+16,1.38E+17,3.26E+17,3.01E+17,6.00E+17,32434.874,105.794,908,156,16,34,04-03-2022
169,NOLSM413168413,2,Implantation,1.06E+16,6.33E+16,5.17E+17,3.02E+17,6.00E+17,31494.284,104.617,891,157,16,35,04-03-2022
170,NOLSM414169414,3,Implantation,9.39462E+15,1.80E+17,9.22E+17,2.99E+17,6.00E+17,30734.563,105.213,910,153,16,36,04-03-2022
171,NOLSM4151610415,1,Implantation,1.23E+16,1.48E+17,4.06E+17,3.00E+17,6.00E+17,32057.927,106.015,898,152,16,37,04-03-2022
172,NOLSM4161611416,2,Implantation,1.30E+16,1.02E+17,7.47E+17,2.99E+17,6.00E+17,31364.565,103.501,900,152,16,38,04-03-2022
173,NOLSM4171612417,3,Implantation,7.55267E+15,9.44E+16,9.74E+17,3.02E+17,6.00E+17,32541.94,101.601,892,153,16,39,04-03-2022
174,NOLSM4181613418,1,Implantation,9.64745E+15,4.74E+16,6.62E+17,2.98E+17,6.00E+17,33034.419,104.309,923,152,16,40,04-03-2022
175,NOLSM4191614419,2,Implantation,1.12E+16,1.54E+17,6.69E+17,3.00E+17,6.00E+17,31946.049,101.047,884,153,16,41,04-03-2022
176,NOLSM4201615420,3,Implantation,1.39E+16,7.15E+16,7.37E+17,3.00E+17,6.00E+17,31897.707,105.23,873,155,16,42,04-03-2022
